subject,professor,room,weekday,start_time,end_tim
일반물리학및실험1,양우철,308-303(과학관 D303 강의실),월,12:00,13:30
일반물리학및실험1,양우철,308-303(과학관 D303 강의실),수,09:00,11:00
일반물리학및실험1,양우철,308-325(과학관  일반물리학실험실A),수,09:00,11:00
일반물리학및실험1,양우철,308-303(과학관 D303 강의실),수,09:00,11:00
일반물리학및실험1,양우철,308-303(과학관 D303 강의실),수,11:00,12:30
일반물리학및실험1,양우철,308-325(과학관  일반물리학실험실A),수,11:00,12:30
일반물리학및실험1,양우철,308-303(과학관 D303 강의실),수,11:00,12:30
일반물리학및실험1,류영선,308-303(과학관 D303 강의실),수,18:00,20:30
일반물리학및실험1,류영선,308-325(과학관  일반물리학실험실A),수,18:00,20:30
일반물리학및실험1,류영선,308-303(과학관 D303 강의실),수,20:40,22:20
일반물리학및실험1,류영선,308-325(과학관  일반물리학실험실A),수,20:40,22:20
일반물리학및실험1,손정인,308-303(과학관 D303 강의실),월,16:30,18:00
일반물리학및실험1,손정인,308-305(과학관 D305 강의실),월,16:30,18:00
일반물리학및실험1,손정인,308-325(과학관  일반물리학실험실A),월,16:30,18:00
일반물리학및실험1,손정인,308-303(과학관 D303 강의실),수,14:00,15:30
일반물리학및실험1,손정인,308-305(과학관 D305 강의실),수,14:00,15:30
일반물리학및실험1,손정인,308-325(과학관  일반물리학실험실A),수,14:00,15:30
일반물리학및실험1,손정인,308-303(과학관 D303 강의실),목,13:00,15:00
일반물리학및실험1,손정인,308-305(과학관 D305 강의실),목,13:00,15:00
일반물리학및실험1,손정인,308-325(과학관  일반물리학실험실A),목,13:00,15:00
일반물리학및실험1,김선배,501-409(학림관 J413 강의실),화,12:00,13:30
일반물리학및실험1,김선배,308-325(과학관  일반물리학실험실A),화,12:00,13:30
일반물리학및실험1,김선배,501-409(학림관 J413 강의실),화,12:00,13:30
일반물리학및실험1,김선배,501-409(학림관 J413 강의실),화,14:00,16:00
일반물리학및실험1,김선배,308-325(과학관  일반물리학실험실A),화,14:00,16:00
일반물리학및실험1,김선배,501-409(학림관 J413 강의실),화,14:00,16:00
일반물리학및실험1,김선배,501-409(학림관 J413 강의실),목,12:00,13:30
일반물리학및실험1,김선배,308-325(과학관  일반물리학실험실A),목,12:00,13:30
일반물리학및실험1,김선배,501-409(학림관 J413 강의실),목,12:00,13:30
일반물리학및실험1,김순구,308-325(과학관  일반물리학실험실A),화,12:00,14:00
일반물리학및실험1,김순구,407-B105(정보문화관P P202 강의실),화,12:00,14:00
일반물리학및실험1,김순구,407-B105(정보문화관P P202 강의실),화,12:00,14:00
일반물리학및실험1,김순구,308-325(과학관  일반물리학실험실A),화,14:00,15:30
일반물리학및실험1,김순구,407-B105(정보문화관P P202 강의실),화,14:00,15:30
일반물리학및실험1,김순구,407-B105(정보문화관P P202 강의실),화,14:00,15:30
일반물리학및실험1,김순구,308-325(과학관  일반물리학실험실A),목,12:00,13:30
일반물리학및실험1,김순구,407-B105(정보문화관P P202 강의실),목,12:00,13:30
일반물리학및실험1,김순구,407-B105(정보문화관P P202 강의실),목,12:00,13:30
일반물리학및실험1,이동화,408-329(정보문화관Q Q302 강의실),화,14:00,15:30
일반물리학및실험1,이동화,308-325(과학관  일반물리학실험실A),화,14:00,15:30
일반물리학및실험1,이동화,408-329(정보문화관Q Q302 강의실),화,14:00,15:30
일반물리학및실험1,이동화,408-329(정보문화관Q Q302 강의실),목,16:00,18:00
일반물리학및실험1,이동화,308-325(과학관  일반물리학실험실A),목,16:00,18:00
일반물리학및실험1,이동화,408-329(정보문화관Q Q302 강의실),목,16:00,18:00
일반물리학및실험1,이동화,408-329(정보문화관Q Q302 강의실),금,14:00,15:30
일반물리학및실험1,이동화,308-325(과학관  일반물리학실험실A),금,14:00,15:30
일반물리학및실험1,이동화,408-329(정보문화관Q Q302 강의실),금,14:00,15:30
일반물리학및실험1,이원철,407-B108(정보문화관P P203 강의실),화,16:00,17:30
일반물리학및실험1,이원철,308-325(과학관  일반물리학실험실A),화,16:00,17:30
일반물리학및실험1,이원철,407-B108(정보문화관P P203 강의실),화,16:00,17:30
일반물리학및실험1,이원철,407-B108(정보문화관P P203 강의실),목,09:00,11:00
일반물리학및실험1,이원철,308-325(과학관  일반물리학실험실A),목,09:00,11:00
일반물리학및실험1,이원철,407-B108(정보문화관P P203 강의실),목,09:00,11:00
일반물리학및실험1,이원철,407-B108(정보문화관P P203 강의실),금,16:30,18:00
일반물리학및실험1,이원철,308-325(과학관  일반물리학실험실A),금,16:30,18:00
일반물리학및실험1,이원철,407-B108(정보문화관P P203 강의실),금,16:30,18:00
일반물리학및실험1,이동화,102-219(학술/문화관 K219 219 강의실),화,16:00,17:30
일반물리학및실험1,이동화,102-219(학술/문화관 K219 219 강의실),화,16:00,17:30
일반물리학및실험1,이동화,308-325(과학관  일반물리학실험실A),화,16:00,17:30
일반물리학및실험1,이동화,102-219(학술/문화관 K219 219 강의실),목,16:30,18:00
일반물리학및실험1,이동화,102-219(학술/문화관 K219 219 강의실),목,16:30,18:00
일반물리학및실험1,이동화,308-325(과학관  일반물리학실험실A),목,16:30,18:00
일반물리학및실험1,이동화,102-219(학술/문화관 K219 219 강의실),금,09:00,11:00
일반물리학및실험1,이동화,102-219(학술/문화관 K219 219 강의실),금,09:00,11:00
일반물리학및실험1,이동화,308-325(과학관  일반물리학실험실A),금,09:00,11:00
일반물리학및실험1,오형택,408-321(정보문화관Q Q301 강의실),수,12:30,14:00
일반물리학및실험1,오형택,308-325(과학관  일반물리학실험실A),수,12:30,14:00
일반물리학및실험1,오형택,408-321(정보문화관Q Q301 강의실),수,12:30,14:00
일반물리학및실험1,오형택,408-321(정보문화관Q Q301 강의실),수,16:00,18:00
일반물리학및실험1,오형택,308-325(과학관  일반물리학실험실A),수,16:00,18:00
일반물리학및실험1,오형택,408-321(정보문화관Q Q301 강의실),수,16:00,18:00
일반물리학및실험1,오형택,408-321(정보문화관Q Q301 강의실),금,12:00,13:30
일반물리학및실험1,오형택,308-325(과학관  일반물리학실험실A),금,12:00,13:30
일반물리학및실험1,오형택,408-321(정보문화관Q Q301 강의실),금,12:00,13:30
일반물리학및실험1,곽동욱,407-B122(정보문화관P P205 강의실),월,18:00,20:30
일반물리학및실험1,곽동욱,308-325(과학관  일반물리학실험실A),월,18:00,20:30
일반물리학및실험1,곽동욱,407-B122(정보문화관P P205 강의실),월,20:40,22:20
일반물리학및실험1,곽동욱,308-325(과학관  일반물리학실험실A),월,20:40,22:20
일반물리학및실험1,권상우,407-B122(정보문화관P P205 강의실),화,18:00,20:30
일반물리학및실험1,권상우,308-325(과학관  일반물리학실험실A),화,18:00,20:30
